sub	ses	age	gender	handedness
A00066827	BAS1	26	F	R
A00066822	BAS1	26	F	R
A00066820	BAS1	75	F	R
A00066812	BAS1	23	M	R
A00066800	BAS1	48	F	R
A00066788	BAS1	39	F	R
A00066784	BAS1	12	F	R
A00066784	FLU1	13	F	R
A00066782	BAS1	45	F	R
A00066782	FLU1	47	F	R
A00066781	BAS1	27	M	R
A00066735	BAS1	22	M	R
A00066698	BAS1	10	F	R
A00066698	FLU1	13	F	R
A00066698	TRT	10	F	R
A00066697	BAS1	10	F	R
A00066697	FLU1	13	F	R
A00066697	TRT	10	F	R
A00066589	BAS1	13	F	R
A00066589	FLU1	14	F	R
A00066589	FLU2	15	F	R
A00066589	TRT	13	F	R
A00066584	BAS1	17	M	R
A00066584	TRT	17	M	R
A00066582	BAS1	14	F	R
A00066582	TRT	14	F	R
A00066581	BAS1	12	M	R
A00066581	TRT	12	M	R
A00066580	BAS1	9	F	R
A00066580	TRT	9	F	R
A00066573	BAS1	7	M	R
A00066573	FLU1	8	M	R
A00066573	TRT	7	M	R
A00066572	BAS1	14	F	R
A00066572	FLU1	15	F	R
A00066572	FLU2	16	F	R
A00066572	TRT	14	F	R
A00066539	BAS1	60	M	R
A00066534	BAS1	8	M	L
A00066534	FLU2	9	M	L
A00066534	TRT	9	M	L
A00066460	BAS1	65	M	R
A00066460	FLU1	66	M	R
A00066460	FLU2	67	M	R
A00066419	BAS1	53	F	R
A00066396	BAS1	14	M	R
A00066396	FLU1	15	M	R
A00066396	FLU2	16	M	R
A00066396	TRT	16	M	R
A00066396	TRT	15	M	R
A00066389	BAS1	69	F	L
A00066389	FLU1	70	F	L
A00066389	FLU2	71	F	L
A00066319	BAS1	23	F	R
A00066314	BAS1	13	M	R
A00066314	FLU1	14	M	R
A00066314	TRT	13	M	R
A00066302	BAS1	57	F	
A00066302	FLU2	59	F	
A00066282	BAS1	38	F	R
A00066248	FLU1	8	F	
A00066248	FLU2	9	F	
A00066246	BAS1	22	M	R
A00066245	BAS1	49	F	R
A00066245	FLU1	50	F	R
A00066245	FLU2	51	F	R
A00066237	BAS1	53	F	R
A00066237	FLU1	54	F	R
A00066237	FLU2	55	F	R
A00066236	BAS1	33	M	R
A00066232	BAS1	23	M	R
A00066162	BAS1	52	F	R
A00066154	BAS1	53	F	R
A00066154	FLU1	55	F	R
A00066154	FLU2	56	F	R
A00066153	BAS1	21	M	R
A00066132	BAS1	56	F	R
A00066132	FLU1	57	F	R
A00066130	BAS1	75	F	R
A00066091	BAS1	22	M	R
A00066087	BAS1	22	M	R
A00066013	BAS1	50	F	R
A00066013	FLU1	51	F	R
A00066013	FLU2	52	F	R
A00066013	FLU3	53	F	R
A00065995	BAS1	45	M	L
A00065995	FLU1	46	M	L
A00065995	FLU2	47	M	L
A00065995	FLU3	48	M	L
A00065992	BAS1	7	F	R
A00065992	FLU1	8	F	R
A00065992	FLU2	9	F	R
A00065992	TRT	8	F	R
A00065991	BAS1	43	F	R
A00065991	FLU1	44	F	R
A00065991	FLU2	44	F	R
A00065978	BAS1	15	M	R
A00065978	FLU1	16	M	R
A00065978	FLU2	18	M	R
A00065975	BAS1	16	M	R
A00065975	FLU1	17	M	R
A00065975	FLU2	19	M	R
A00065975	TRT	19	M	R
A00065974	BAS1	44	F	R
A00065974	FLU1	45	F	R
A00065974	FLU2	46	F	R
A00065962	BAS1	39	F	R
A00065962	FLU2	41	F	R
A00065962	FLU3	42	F	R
A00065941	BAS1	15	M	R
A00065941	FLU1	16	M	R
A00065941	FLU2	17	M	R
A00065935	BAS1	42	F	R
A00065935	FLU1	43	F	R
A00065935	FLU2	44	F	R
A00065935	FLU3	45	F	R
A00065934	BAS1	17	M	R
A00065873	BAS1	52	F	R
A00065865	BAS1	81	M	R
A00065820	BAS1	9	M	R
A00065820	TRT	9	M	R
