Datasets,CBFTYPE,QEI,FD
PNC,SCBF,0.738517085,0.105379491
PNC,SCBF,0.73130134,0.11090948
PNC,SCBF,0.54139299,0.103768031
PNC,SCBF,0.578369421,0.276281573
PNC,SCBF,0.753305274,0.174829166
PNC,SCBF,0.741873183,0.105253269
PNC,SCBF,0.683482269,0.116914064
PNC,SCBF,0.633908572,0.147740866
PNC,SCBF,0.723057765,0.117207942
PNC,SCBF,0.524624675,0.143291297
PNC,SCBF,0.71701306,0.15350819
PNC,SCBF,0.445268659,0.713075934
PNC,SCBF,0.571052667,0.13331132
PNC,SCBF,0.630554364,0.101434573
PNC,SCBF,0.655583386,0.129705806
PNC,SCBF,0.725674159,0.133361122
PNC,SCBF,0.714603697,0.150532861
PNC,SCBF,0.682403611,0.099068682
PNC,SCBF,0.643635446,0.092686348
PNC,SCBF,0.764742965,0.104681961
PNC,SCBF,0.606123595,0.277561752
PNC,SCBF,0.736275607,0.17202726
PNC,SCBF,0.739993973,0.149936363
PNC,SCBF,0.725809211,0.140483648
PNC,SCBF,0.628085764,0.235944543
PNC,SCBF,0.709626943,0.138718146
PNC,SCBF,0.73721142,0.169365352
PNC,SCBF,0.697508597,0.15162081
PNC,SCBF,0.695131035,0.140991857
PNC,SCBF,0.740758507,0.240260862
PNC,SCBF,0.671806865,0.352344816
PNC,SCBF,0.568867573,0.070562999
PNC,SCBF,0.642706215,0.269733054
PNC,SCBF,0.687323231,0.112140313
PNC,SCBF,0.691263762,0.114301525
PNC,SCBF,0.613308928,0.085069665
PNC,SCBF,0.664363757,0.137256368
PNC,SCBF,0.72035319,0.102482536
PNC,SCBF,0.515388301,0.146495208
PNC,SCBF,0.708253542,0.132315721
PNC,SCBF,0.634631938,0.118737507
PNC,SCBF,0.643641259,0.142127765
PNC,SCBF,0.700376891,0.07661314
PNC,SCBF,0.725514326,0.12120078
PNC,SCBF,0.717940785,0.075908194
PNC,SCBF,0.743823865,0.168209218
PNC,SCBF,0.733998856,0.131480792
PNC,SCBF,0.70478362,0.110845161
PNC,SCBF,0.742330465,0.062610004
PNC,SCBF,0.671540754,0.075418655
