sub,ses,CBF_GM,CBF_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
A00065487,BAS2,41.12569,29.520906,39.606328,29.03851,44.855295,35.03817,50.715419,52.095653
A00065487,BAS1,57.219606,33.737561,57.145879,33.965841,61.497382,41.347745,71.243501,60.061017
A00065487,FLU2,42.822546,27.638103,42.859361,27.700505,45.980148,33.383381,52.690996,49.175416
A00065487,FLU1,40.964232,22.969297,41.290559,23.201097,43.507198,29.761714,51.221248,42.02225
A00057480,TRT,81.84486,40.176435,75.594811,37.826589,86.616139,56.632699,109.609378,74.680251
A00057480,BAS1,64.740824,35.529822,68.154105,36.984273,69.755492,45.076884,82.392449,65.350027
A00057480,FLU2,55.495256,33.182975,54.167877,32.688824,60.211885,41.910367,70.330372,61.491597
A00057480,FLU1,74.971788,42.223059,70.99893,38.806759,80.028277,57.423334,96.362736,78.979283
A00079710,BAS1,85.865316,42.526082,82.807934,41.469012,92.506231,59.161832,111.21899,82.409496
A00059527,BAS1,65.869611,30.267822,65.081046,30.810497,69.03486,39.968903,85.15224,56.433194
A00057809,TRT,69.224436,47.34894,67.171922,46.25029,78.749319,56.383862,95.985572,86.647329
A00057809,BAS1,68.366108,48.366019,67.057242,47.204891,79.806235,57.101343,93.655571,89.522662
A00057809,FLU2,65.61158,47.453665,64.893036,47.624426,74.514049,55.252793,89.664276,85.69895
A00057809,FLU1,67.566613,48.181178,66.826442,47.803715,77.647102,57.136952,93.292592,88.140167
A00052117,BAS2,65.240789,30.460435,60.107061,30.297814,68.075203,43.907498,79.726225,63.189956
A00052117,BAS1,65.008627,42.618253,65.549279,43.162917,70.67129,52.772963,81.687453,78.674612
A00054358,BAS1,64.803442,43.673038,63.125367,43.451819,70.782862,52.449001,83.904772,76.989288
A00054482,BAS1,52.807714,41.942767,52.27907,41.506746,57.008303,47.736053,65.89733,72.576129
A00083389,BAS1,18.438048,9.145883,19.64784,9.843543,32.279078,22.245832,38.696571,26.324565
A00083389,FLU1,28.406368,15.55961,24.515915,12.266728,36.576763,27.729011,44.27146,33.856667
A00076546,BAS1,43.89763,27.975863,42.431085,27.100646,46.830345,33.803883,54.668947,48.542089
A00076546,FLU2,35.828915,23.532143,35.119133,22.814127,42.998747,32.495044,49.852195,48.892384
A00076546,FLU1,51.747428,38.591704,52.98514,37.973028,60.727429,46.098085,70.598386,68.301833
A00039846,BAS2,57.470725,42.169221,57.267601,42.036646,62.972649,48.63074,73.324282,72.871375
A00039846,FLU1,36.912767,27.258418,36.84211,27.319989,41.020616,32.895689,47.23831,49.097661
A00053927,BAS1,43.863757,27.672089,42.161278,28.064085,49.113745,34.975244,58.171976,51.703242
A00058130,BAS1,39.072549,30.271203,37.578503,29.613018,45.067215,37.44237,51.183039,51.959939
A00077184,BAS1,50.654171,33.005946,50.651552,33.693411,57.712104,41.998808,67.34905,61.620593
A00077184,FLU2,39.330904,31.195211,40.963184,32.683257,48.310354,39.49732,54.38491,60.199632
A00037126,BAS2,60.134747,28.753738,59.978973,29.308301,65.927966,39.791486,80.987071,56.651113
A00037126,TRT,65.85063,35.879893,64.301288,35.125208,71.429381,45.865752,86.83912,65.973913
A00066782,BAS1,45.572184,34.347159,45.345401,33.769885,50.940791,40.903177,60.220134,62.662815
A00066782,FLU1,27.999982,20.510335,27.927673,19.72208,34.084417,28.090781,39.5207,43.286625
A00030947,BAS2,54.132057,34.601204,65.131639,41.29097,63.413163,48.936737,82.969722,66.220128
A00083731,BAS1,85.04962,45.127551,80.543422,41.550547,89.980772,62.534444,112.506069,87.503769
A00083731,FLU1,92.790794,57.839515,86.31817,53.950726,97.598079,69.244961,119.501418,102.063032
A00060846,TRT,69.151349,45.433321,69.465582,46.096769,73.857597,53.248678,86.036665,78.883577
A00060846,BAS1,81.030036,38.738662,80.73638,38.854021,85.323421,48.283347,102.067926,67.615654
A00060846,FLU2,60.30957,39.610264,59.966771,40.110315,65.876131,47.359433,75.06393,71.236586
A00060846,FLU1,64.580985,44.961116,65.272048,45.6842,69.6719,53.038181,79.584334,79.669494
A00077095,BAS1,56.975218,42.582875,55.986179,43.136052,61.619479,49.300143,70.837463,74.105462
A00041540,BAS1,74.708512,42.133209,73.530836,41.750947,78.859071,51.872587,95.257633,76.04463
A00039560,BAS2,67.644145,33.4461,68.032167,34.424382,74.494802,43.298848,92.601622,60.008199
A00039560,FLU2,41.480658,26.566767,41.233096,25.042983,47.467433,33.242415,56.714628,47.868455
A00039560,FLU1,42.772975,24.778983,41.903758,24.540187,50.339516,32.926231,60.356513,46.986862
A00077755,TRT,68.953517,37.892256,68.35711,38.203449,86.883138,60.580234,106.17652,85.727194
A00077755,BAS1,71.553448,31.623009,70.54129,32.251254,75.347822,43.630413,92.757943,60.201831
A00066573,TRT,89.513847,46.979679,80.772692,42.750926,93.1939,61.616992,115.54915,83.025125
A00066573,BAS1,59.657833,29.786044,72.266946,37.210783,71.484685,45.742362,88.352465,61.180358
A00066573,FLU1,52.912705,32.756179,68.301669,41.492489,68.071245,48.602392,80.768956,69.021733
A00061806,BAS1,64.070365,31.705315,55.732495,26.141619,67.403589,42.955456,85.748865,58.282375
A00058667,BAS1,72.14742,44.617741,72.235177,45.203685,77.85736,54.703943,91.68363,81.068721
A00081090,TRT,51.912184,48.506208,61.745034,53.247093,71.306995,66.089691,82.96339,107.833473
A00081090,FLU2,31.14394,17.193995,64.171891,47.798769,52.69011,37.743102,62.726613,58.509056
A00040383,BAS2,63.55553,51.964964,62.189405,51.245066,70.08347,58.082215,80.916282,90.457623
A00081962,BAS1,21.320681,18.403347,22.332177,19.136436,26.666032,22.466473,30.240612,34.119307
A00057005,BAS1,69.711217,36.861567,70.063936,37.559144,73.61232,46.679279,88.676321,66.478172
A00064053,BAS1,55.049061,37.135088,53.684966,36.792202,59.132638,43.904014,68.805882,64.674296
A00055921,TRT,68.526294,41.212123,69.873542,42.651527,80.172118,55.925174,96.624273,86.002385
A00055921,FLU2,36.471568,10.526312,61.884014,35.570088,51.365156,37.417602,66.474071,52.063589
A00055921,FLU1,67.866656,31.820103,67.015183,31.305466,75.392736,49.601893,92.316962,74.313195
A00054857,BAS2,70.852514,45.538763,70.235844,44.786111,77.507598,53.955192,90.913544,79.201857
A00054857,BAS1,71.320772,34.421725,70.142567,35.074445,75.77982,43.836315,90.969359,61.063377
A00063326,BAS1,39.295959,22.84163,39.75946,23.025876,45.196858,30.899916,53.402328,44.561574
A00058952,BAS2,46.890255,24.588281,47.159345,24.714947,50.548335,32.773632,59.596386,46.46955
A00058952,BAS1,44.138228,25.463929,45.040276,25.726772,48.226829,33.213345,56.725683,47.492953
A00058952,FLU1,44.936622,25.477354,44.977932,25.614308,48.808543,33.768824,57.551507,48.210428
A00079931,BAS1,122.417308,84.928856,89.507287,57.250262,128.834954,99.273343,162.842239,150.102405
A00066820,BAS1,28.402314,15.704565,27.443784,16.17983,32.366476,23.453028,37.873783,31.299091
A00077412,TRT,95.847312,63.672147,94.675771,64.024107,104.755437,75.987604,122.995439,112.818814
A00077412,BAS1,92.497725,45.197139,93.888506,46.493948,99.13604,57.234323,119.382453,80.001022
A00077412,FLU2,-16.64584,-14.116354,-16.208415,-14.522883,12.196002,10.008009,2.473565,19.859471
A00077412,FLU1,90.711864,58.481804,89.456941,59.091947,100.023361,70.470902,115.958723,105.49616
A00076559,BAS1,66.602649,47.868823,65.161126,47.140306,78.725827,56.387221,93.315635,82.53021
A00076559,FLU2,54.775946,41.267959,55.986336,41.493662,64.769635,48.178151,75.305952,71.55797
A00076559,FLU1,61.07113,40.806349,61.813683,41.497055,70.66921,49.232857,82.523227,71.791814
A00050743,BAS1,71.362383,37.606853,71.041043,37.753614,75.152873,47.483678,89.749695,68.099491
A00052613,BAS1,66.476332,37.272493,65.712045,37.084065,70.662518,46.864586,88.18171,68.514501
A00044369,BAS1,32.931315,23.414116,33.027815,22.809677,40.759282,30.725922,47.547385,44.402964
A00055946,TRT,122.835652,90.894904,66.966186,43.187271,131.149509,111.56136,156.009032,164.361903
A00055946,FLU2,87.103022,49.573145,75.067505,35.714176,95.271809,70.557631,120.12458,96.998397
A00055946,FLU1,80.196008,57.292529,66.165528,45.769717,92.254328,80.157719,107.212068,115.380074
A00084921,BAS1,38.970354,29.05523,38.385698,28.818238,43.769443,34.938714,50.250171,53.092047
A00056605,BAS1,67.361976,39.840228,64.52013,38.888624,71.156645,46.912681,89.759291,76.714467
A00056605,FLU2,65.517395,39.723819,65.866511,42.21108,70.083726,50.177954,86.127617,83.148834
A00056605,FLU1,57.699709,36.607816,56.432609,38.773718,62.638641,47.559937,76.69833,79.127964
A00074802,BAS1,47.742891,36.626478,46.394022,36.743952,55.545413,42.959246,65.001233,65.201857
A00076600,BAS1,59.486159,44.091795,58.872159,44.075205,66.462215,51.466466,76.572654,76.5329
A00076600,FLU1,42.480742,32.935627,41.666792,33.047177,49.823248,40.186221,57.941314,59.394901
A00077099,BAS1,31.65062,17.485125,32.433753,17.337251,38.723322,29.371544,45.750942,41.138477
A00077099,FLU2,25.046346,14.565397,26.101143,15.161765,30.981648,24.144282,35.780061,33.307811
A00077099,FLU1,32.591163,17.629441,31.895279,17.580677,38.066614,27.610913,43.849355,38.028398
A00075412,BAS1,55.472749,25.169836,53.489153,24.56598,59.593056,36.468217,73.179628,50.334749
A00054929,BAS1,42.115854,32.34361,40.562861,32.317836,46.567784,38.102546,54.420998,57.791196
A00062934,BAS1,49.459626,30.883477,49.660897,31.253078,54.239641,38.512735,63.947698,56.656471
A00060472,TRT,58.953406,24.012999,57.763927,24.168822,63.962888,34.916156,77.814812,45.769475
A00060472,BAS1,59.064767,28.737337,58.94342,28.211511,66.331418,38.891041,81.133355,52.381344
A00060472,FLU1,52.427367,24.372396,49.682897,23.19259,56.601723,33.471272,67.891558,44.951059
A00081724,BAS1,50.955073,27.955032,50.588368,28.546133,54.975408,35.526774,66.977238,51.193039
A00081724,FLU1,42.384791,23.071713,42.125808,23.347641,46.931953,29.579241,55.50175,42.917608
A00053901,BAS1,62.62954,36.569395,62.183903,37.628332,68.244933,44.767575,81.653315,65.412052
A00077574,TRT,66.520226,42.62903,65.411469,42.675228,71.03732,52.247949,83.868447,77.33138
A00077574,BAS1,71.074014,43.03212,71.008735,43.788253,77.359821,56.894697,93.14065,83.343605
