subject,session,AcqGroup
sub-A00079730,FLU1,1
sub-A00079730,BAS1,1
sub-A00079724,FLU1,1
sub-A00079724,BAS1,1
sub-A00077733,BAS1,1
sub-A00077668,TRT,1
sub-A00077668,FLU1,1
sub-A00077668,BAS1,1
sub-A00077637,BAS1,1
sub-A00077622,BAS1,1
sub-A00077585,FLU1,1
sub-A00077585,BAS1,1
sub-A00077577,TRT,1
sub-A00077574,TRT,1
sub-A00077574,FLU1,1
sub-A00077574,BAS1,1
sub-A00077573,BAS1,1
sub-A00077556,FLU1,1
sub-A00077556,BAS1,1
sub-A00077528,FLU1,1
sub-A00077528,BAS1,1
sub-A00077453,TRT,1
sub-A00077734,BAS1,1
sub-A00077753,BAS1,1
sub-A00077753,FLU1,1
sub-A00079301,FLU1,1
sub-A00079710,BAS1,1
sub-A00079422,BAS1,1
sub-A00079353,BAS1,1
sub-A00079337,TRT,1
sub-A00079337,BAS1,1
sub-A00079334,BAS1,1
sub-A00079302,FLU1,1
sub-A00079302,BAS1,1
sub-A00079301,BAS1,1
sub-A00077755,BAS1,1
sub-A00079292,FLU1,1
sub-A00079292,BAS1,1
sub-A00078823,BAS1,1
sub-A00078262,FLU1,1
sub-A00078262,BAS1,1
sub-A00078238,BAS1,1
sub-A00077758,BAS1,1
sub-A00077755,TRT,1
sub-A00063003,FLU1,1
sub-A00066013,FLU1,1
sub-A00063000,BAS1,1
sub-A00053171,FLU1,1
sub-A00052614,BAS1,1
sub-A00052613,BAS1,1
sub-A00052612,BAS1,1
sub-A00052577,FLU1,1
sub-A00052577,BAS2,1
sub-A00052502,BAS1,1
sub-A00062997,TRT,1
sub-A00052499,BAS1,1
sub-A00052461,TRT,1
sub-A00052461,FLU2,1
sub-A00052461,FLU1,1
sub-A00052461,BAS1,1
sub-A00052340,BAS1,1
sub-A00052319,BAS1,1
sub-A00052307,BAS1,1
sub-A00052237,TRT,1
sub-A00052237,FLU2,1
sub-A00052237,FLU1,1
sub-A00052235,BAS1,1
sub-A00052639,BAS1,1
sub-A00053202,BAS1,1
sub-A00053625,BAS1,1
sub-A00053202,BAS2,1
sub-A00053577,BAS1,1
sub-A00053576,BAS1,1
sub-A00053546,BAS1,1
sub-A00053490,TRT,1
