scanid,oldpnc
7870,7.1666024541743285
3409,7.204673108691159
5719,7.7612711112864075
3397,7.953977312594744
4375,4.559333930146615
6597,7.461515323181175
3883,8.090207692450353
5196,7.842257903166139
3497,4.061606811850159
6153,7.8435166021193705
3567,4.67739920457137
6749,7.259694352728737
4377,7.680174938740182
6035,8.066151368311967
3581,5.393025580512397
3490,7.237652205049633
5916,6.944791595149971
9573,
3373,5.855766094385794
3643,7.093706770735091
3683,6.319066031313697
3711,7.669987211161434
4030,4.541955717271434
4489,7.6182159998386725
3902,4.439257180467018
4540,6.5589974332034044
4043,7.746981425288391
4253,7.215725880379724
3502,6.9798368529322685
3613,3.7594646559249063
4150,5.83912464090313
3371,8.256980075792667
4678,5.049187056739199
5762,7.9573833859428476
3670,7.701436375897938
6987,3.453014834794364
6762,8.401105237612862
6872,5.508899297508415
3725,7.8445742763489426
3895,7.879258513940785
7037,7.7374898593673676
3523,6.714069939846975
3918,7.416078672775865
5554,3.5109534847027026
4031,6.403137249713401
4596,6.197677163784041
3663,3.811903569754257
4053,5.457118748333202
4944,5.66774895473926
3648,6.422022485668505
5388,6.565239763107515
4824,7.120316009938804
4069,7.277708911874765
3713,5.522677256421539
3456,7.642793315558149
4380,7.249318579724252
4945,5.986297216436611
4512,8.463365627701398
7439,8.011600641513942
6878,7.378358857820314
5681,7.292970715493071
3635,6.791537666229037
4795,7.608388696219689
3430,7.794248911075729
3633,4.922529004491079
4478,5.7658308310700646
3473,5.748687978409256
6901,4.02024532205325
3702,6.824285868194747
4250,6.3996771782342945
6986,7.738449941180127
7404,3.7065006576896233
5419,3.8869108333814117
7574,7.225033211607964
3692,6.766770883756311
3616,4.119392623933551
10005,
7444,7.047961513370816
3598,4.955943487542652
5884,5.922846152326635
3615,4.615911032145759
3586,4.546832169027009
5811,4.906405703061864
4009,6.19357311317961
3682,7.369757030919033
4371,6.113671316692435
3618,5.254769370682183
3664,5.972402623373803
3739,6.867223550139557
5346,6.856777789223971
3727,3.8441697566280233
3756,5.278325410154857
4541,7.231662895550722
6645,7.459357230220371
10260,
3759,7.9166430604669
3792,7.342466881312668
3755,6.093063348948895
3865,7.327823262994928
4907,3.145350468909654
4005,7.272246047107646
4768,7.647303980226412
3923,3.5422906638196205
7445,4.704736140230492
7443,8.022074979652464
3894,3.2906126351967693
4676,5.5044878710584335
4487,5.431776370351355
7501,5.095960833652206
4608,6.993513077600436
4046,
3904,5.018212568371423
4173,7.099457470658618
3903,8.189629650013865
4220,8.704166437883938
4271,5.7379733239509925
5751,6.9655843210886506
4139,4.093165288277475
6432,7.908252417329058
4041,
3638,6.9829176063179474
4010,6.231182529958586
4488,4.740266630565489
3709,4.01483199284778
6157,5.837452578027849
4545,7.989611960184645
4119,7.183696517873199
4072,5.791932787678137
3998,6.700301747743232
4201,5.462661207393617
4038,4.408062284696891
4284,5.497480117692986
6150,6.754717712015136
4094,5.445925771090354
4982,7.453303001327437
6101,5.984049778213538
4278,6.606600802672691
4861,7.751713261732712
4812,7.695298784534761
4193,5.696032591630307
3529,4.771593576943404
4332,4.081730689314363
4989,5.752058351676984
6505,3.877407300953383
5946,7.112272162128902
3600,7.058443225838688
